step,avg_drugs_lost,avg_all3_lost,parameter_comb,strategy
7300,0,0,106,sequential
10000,0,0,106,sequential
730,0,0,107,sequential
1000,0,0,107,sequential
1825,0,0,107,sequential
3650,0,0,107,sequential
5000,0,0,107,sequential
7300,0,0,107,sequential
10000,0,0,107,sequential
730,0,0,108,sequential
1000,0,0,108,sequential
1825,0.06,0,108,sequential
3650,0.65,0,108,sequential
5000,0.67,0,108,sequential
7300,0.67,0,108,sequential
10000,0.67,0,108,sequential
730,0,0,109,sequential
1000,0,0,109,sequential
1825,0,0,109,sequential
3650,0,0,109,sequential
5000,0,0,109,sequential
7300,0,0,109,sequential
10000,0,0,109,sequential
730,0,0,110,sequential
1000,0,0,110,sequential
1825,0,0,110,sequential
3650,0,0,110,sequential
5000,0,0,110,sequential
7300,0,0,110,sequential
10000,0,0,110,sequential
730,0,0,111,sequential
1000,0,0,111,sequential
1825,0,0,111,sequential
3650,0.53,0,111,sequential
5000,0.64,0,111,sequential
7300,0.67,0,111,sequential
10000,0.69,0,111,sequential
730,0,0,112,sequential
1000,0,0,112,sequential
1825,0,0,112,sequential
3650,0,0,112,sequential
5000,0.09,0,112,sequential
7300,0.65,0,112,sequential
10000,0.96,0,112,sequential
730,0,0,113,sequential
1000,0,0,113,sequential
1825,0,0,113,sequential
3650,0.7,0,113,sequential
5000,0.93,0,113,sequential
7300,0.99,0,113,sequential
10000,0.99,0,113,sequential
730,0,0,114,sequential
1000,0,0,114,sequential
1825,0.04,0,114,sequential
3650,0.26,0,114,sequential
5000,0.31,0,114,sequential
7300,0.38,0,114,sequential
10000,0.46,0,114,sequential
730,0,0,115,sequential
1000,0,0,115,sequential
1825,0,0,115,sequential
3650,0,0,115,sequential
5000,0,0,115,sequential
7300,0,0,115,sequential
10000,0,0,115,sequential
730,0,0,116,sequential
1000,0,0,116,sequential
1825,0.49,0,116,sequential
3650,0.69,0,116,sequential
5000,0.71,0,116,sequential
7300,0.83,0,116,sequential
10000,1.01,0,116,sequential
730,0,0,117,sequential
1000,0,0,117,sequential
1825,0.01,0,117,sequential
3650,0.08,0,117,sequential
5000,0.18,0,117,sequential
7300,0.33,0,117,sequential
10000,0.43,0,117,sequential
730,0,0,118,sequential
1000,0,0,118,sequential
1825,0,0,118,sequential
3650,0.03,0,118,sequential
5000,0.16,0,118,sequential
7300,0.39,0,118,sequential
10000,0.45,0,118,sequential
730,0,0,119,sequential
1000,0,0,119,sequential
1825,0.11,0,119,sequential
3650,0.51,0,119,sequential
5000,0.63,0,119,sequential
7300,0.73,0,119,sequential
10000,0.88,0,119,sequential
730,0,0,120,sequential
1000,0.48,0,120,sequential
1825,1.01,0,120,sequential
3650,2,0,120,sequential
5000,2,0,120,sequential
7300,2,0,120,sequential
10000,2,0,120,sequential
730,0,0,121,sequential
1000,0,0,121,sequential
1825,0,0,121,sequential
3650,0,0,121,sequential
5000,0.03,0,121,sequential
7300,0.07,0,121,sequential
10000,0.07,0,121,sequential
730,0,0,122,sequential
1000,0,0,122,sequential
1825,0,0,122,sequential
3650,0,0,122,sequential
5000,0,0,122,sequential
7300,0,0,122,sequential
10000,0,0,122,sequential
730,0,0,123,sequential
1000,0,0,123,sequential
1825,0,0,123,sequential
3650,0,0,123,sequential
5000,0,0,123,sequential
7300,0,0,123,sequential
10000,0,0,123,sequential
730,0,0,124,sequential
1000,0,0,124,sequential
1825,0,0,124,sequential
3650,0,0,124,sequential
5000,0,0,124,sequential
7300,0,0,124,sequential
10000,0,0,124,sequential
730,0,0,125,sequential
1000,0,0,125,sequential
1825,0,0,125,sequential
3650,0,0,125,sequential
5000,0,0,125,sequential
7300,0,0,125,sequential
10000,0,0,125,sequential
730,0,0,126,sequential
1000,0,0,126,sequential
1825,0.42,0,126,sequential
3650,0.85,0,126,sequential
5000,0.86,0,126,sequential
7300,0.86,0,126,sequential
10000,0.86,0,126,sequential
730,0,0,127,sequential
1000,0,0,127,sequential
1825,0,0,127,sequential
3650,0,0,127,sequential
5000,0,0,127,sequential
7300,0,0,127,sequential
10000,0,0,127,sequential
730,0,0,128,sequential
1000,0,0,128,sequential
1825,0.01,0,128,sequential
3650,0.45,0,128,sequential
5000,0.52,0,128,sequential
7300,0.52,0,128,sequential
10000,0.54,0,128,sequential
730,0,0,129,sequential
1000,0.08,0,129,sequential
1825,1,0,129,sequential
3650,1.74,0,129,sequential
5000,1.99,0,129,sequential
7300,2,0,129,sequential
10000,2,0,129,sequential
730,0,0,130,sequential
1000,0,0,130,sequential
1825,0.7,0,130,sequential
3650,1,0,130,sequential
5000,1,0,130,sequential
7300,1,0,130,sequential
10000,1,0,130,sequential
730,0,0,131,sequential
1000,0,0,131,sequential
1825,0,0,131,sequential
3650,0,0,131,sequential
5000,0,0,131,sequential
7300,0,0,131,sequential
10000,0,0,131,sequential
730,0,0,132,sequential
1000,0,0,132,sequential
1825,0.78,0,132,sequential
3650,1,0,132,sequential
5000,1,0,132,sequential
7300,1,0,132,sequential
10000,1,0,132,sequential
730,0,0,133,sequential
1000,0,0,133,sequential
1825,0,0,133,sequential
3650,0,0,133,sequential
5000,0,0,133,sequential
7300,0,0,133,sequential
10000,0,0,133,sequential
730,0,0,134,sequential
1000,0,0,134,sequential
1825,0,0,134,sequential
3650,0,0,134,sequential
5000,0,0,134,sequential
7300,0,0,134,sequential
10000,0,0,134,sequential
730,0,0,135,sequential
1000,0,0,135,sequential
1825,0,0,135,sequential
3650,0,0,135,sequential
5000,0,0,135,sequential
7300,0,0,135,sequential
10000,0,0,135,sequential
730,0,0,136,sequential
1000,0,0,136,sequential
1825,0,0,136,sequential
3650,0,0,136,sequential
5000,0,0,136,sequential
7300,0,0,136,sequential
10000,0,0,136,sequential
730,0,0,137,sequential
1000,0,0,137,sequential
1825,0,0,137,sequential
3650,0,0,137,sequential
5000,0,0,137,sequential
7300,0,0,137,sequential
10000,0,0,137,sequential
730,0,0,138,sequential
1000,0,0,138,sequential
1825,0,0,138,sequential
3650,0,0,138,sequential
5000,0,0,138,sequential
7300,0,0,138,sequential
10000,0,0,138,sequential
730,0,0,139,sequential
1000,0,0,139,sequential
1825,0,0,139,sequential
3650,0,0,139,sequential
5000,0,0,139,sequential
7300,0,0,139,sequential
10000,0,0,139,sequential
730,0,0,140,sequential
1000,0,0,140,sequential
1825,0,0,140,sequential
3650,0.42,0,140,sequential
5000,0.68,0,140,sequential
7300,0.75,0,140,sequential
10000,0.77,0,140,sequential
730,0,0,141,sequential
1000,0,0,141,sequential
1825,0,0,141,sequential
3650,0,0,141,sequential
5000,0,0,141,sequential
7300,0,0,141,sequential
10000,0,0,141,sequential
730,0,0,142,sequential
1000,0,0,142,sequential
1825,0.82,0,142,sequential
3650,1,0,142,sequential
5000,1,0,142,sequential
7300,1,0,142,sequential
10000,1,0,142,sequential
730,0,0,143,sequential
1000,0,0,143,sequential
1825,0,0,143,sequential
3650,0.91,0,143,sequential
5000,0.99,0,143,sequential
7300,1,0,143,sequential
10000,1,0,143,sequential
730,0,0,144,sequential
1000,0,0,144,sequential
1825,0,0,144,sequential
3650,0,0,144,sequential
5000,0,0,144,sequential
7300,0,0,144,sequential
10000,0,0,144,sequential
730,0,0,145,sequential
1000,0,0,145,sequential
1825,0,0,145,sequential
3650,0.24,0,145,sequential
5000,0.46,0,145,sequential
7300,0.64,0,145,sequential
10000,0.7,0,145,sequential
730,0,0,146,sequential
1000,0,0,146,sequential
1825,0,0,146,sequential
3650,0,0,146,sequential
5000,0,0,146,sequential
7300,0,0,146,sequential
10000,0,0,146,sequential
730,0,0,147,sequential
1000,0,0,147,sequential
1825,0,0,147,sequential
3650,0,0,147,sequential
5000,0,0,147,sequential
7300,0,0,147,sequential
10000,0,0,147,sequential
730,0,0,148,sequential
1000,0,0,148,sequential
1825,0.06,0,148,sequential
3650,0.29,0,148,sequential
5000,0.48,0.04,148,sequential
7300,0.87,0.2,148,sequential
10000,1.18,0.34,148,sequential
730,0,0,149,sequential
1000,0,0,149,sequential
1825,0,0,149,sequential
3650,0.05,0,149,sequential
5000,0.22,0,149,sequential
