step,parameter_comb,strategy,prop_runs_prevA_above
7300,73,sequential,1
10000,73,sequential,1
730,74,sequential,0
1000,74,sequential,0
1825,74,sequential,0
3650,74,sequential,0
5000,74,sequential,0
7300,74,sequential,0.12
10000,74,sequential,0.44
730,75,sequential,0
1000,75,sequential,0
1825,75,sequential,0
3650,75,sequential,0
5000,75,sequential,0
7300,75,sequential,0
10000,75,sequential,0
730,76,sequential,0
1000,76,sequential,0
1825,76,sequential,0
3650,76,sequential,0
5000,76,sequential,0
7300,76,sequential,0
10000,76,sequential,0
730,77,sequential,0
1000,77,sequential,0
1825,77,sequential,0.2
3650,77,sequential,0.68
5000,77,sequential,0.68
7300,77,sequential,0.68
10000,77,sequential,0.68
730,78,sequential,0
1000,78,sequential,0
1825,78,sequential,0
3650,78,sequential,0
5000,78,sequential,0
7300,78,sequential,0
10000,78,sequential,0
730,79,sequential,0
1000,79,sequential,0
1825,79,sequential,0
3650,79,sequential,0
5000,79,sequential,0
7300,79,sequential,0
10000,79,sequential,0
730,80,sequential,0
1000,80,sequential,0
1825,80,sequential,0
3650,80,sequential,0
5000,80,sequential,0
7300,80,sequential,0
10000,80,sequential,0
730,81,sequential,0
1000,81,sequential,0
1825,81,sequential,0
3650,81,sequential,0
5000,81,sequential,0
7300,81,sequential,0
10000,81,sequential,0
730,82,sequential,0
1000,82,sequential,0
1825,82,sequential,0
3650,82,sequential,0
5000,82,sequential,0
7300,82,sequential,0
10000,82,sequential,0
730,83,sequential,0
1000,83,sequential,0
1825,83,sequential,0
3650,83,sequential,0
5000,83,sequential,0
7300,83,sequential,0
10000,83,sequential,0
730,84,sequential,0
1000,84,sequential,0
1825,84,sequential,0.69
3650,84,sequential,1
5000,84,sequential,1
7300,84,sequential,1
10000,84,sequential,1
730,85,sequential,0
1000,85,sequential,0
1825,85,sequential,0.39
3650,85,sequential,0.91
5000,85,sequential,0.97
7300,85,sequential,1
10000,85,sequential,1
730,86,sequential,0
1000,86,sequential,0
1825,86,sequential,0
3650,86,sequential,0.56
5000,86,sequential,0.99
7300,86,sequential,1
10000,86,sequential,1
730,87,sequential,0
1000,87,sequential,0
1825,87,sequential,0
3650,87,sequential,0.31
5000,87,sequential,0.55
7300,87,sequential,0.68
10000,87,sequential,0.77
730,88,sequential,0
1000,88,sequential,0
1825,88,sequential,0
3650,88,sequential,0
5000,88,sequential,0
