step,parameter_comb,strategy,prop_runs_prevC_above
730,131,equal allocation,NA
1000,131,equal allocation,NA
1825,131,equal allocation,NA
3650,131,equal allocation,NA
5000,131,equal allocation,NA
7300,131,equal allocation,NA
10000,131,equal allocation,NA
730,132,equal allocation,0
1000,132,equal allocation,0
1825,132,equal allocation,0
3650,132,equal allocation,0
5000,132,equal allocation,0
7300,132,equal allocation,0
10000,132,equal allocation,0
730,133,equal allocation,0
1000,133,equal allocation,0
1825,133,equal allocation,0
3650,133,equal allocation,0
5000,133,equal allocation,0
7300,133,equal allocation,0
10000,133,equal allocation,0
730,134,equal allocation,0
1000,134,equal allocation,0
1825,134,equal allocation,0
3650,134,equal allocation,0
5000,134,equal allocation,0.29
7300,134,equal allocation,0.97
10000,134,equal allocation,1
730,135,equal allocation,0
1000,135,equal allocation,0
1825,135,equal allocation,0
3650,135,equal allocation,0
5000,135,equal allocation,0
7300,135,equal allocation,0
10000,135,equal allocation,0
730,136,equal allocation,0
1000,136,equal allocation,0
1825,136,equal allocation,0
3650,136,equal allocation,0.07
5000,136,equal allocation,0.77
7300,136,equal allocation,1
10000,136,equal allocation,1
730,137,equal allocation,0
1000,137,equal allocation,0
1825,137,equal allocation,0
3650,137,equal allocation,0.36
5000,137,equal allocation,0.97
7300,137,equal allocation,1
10000,137,equal allocation,1
730,138,equal allocation,0
1000,138,equal allocation,0
1825,138,equal allocation,0
3650,138,equal allocation,0
5000,138,equal allocation,0
7300,138,equal allocation,0.04
10000,138,equal allocation,0.49
730,139,equal allocation,0
1000,139,equal allocation,0
1825,139,equal allocation,0
3650,139,equal allocation,0.73
5000,139,equal allocation,0.99
7300,139,equal allocation,1
10000,139,equal allocation,1
730,140,equal allocation,0
1000,140,equal allocation,0
1825,140,equal allocation,0
3650,140,equal allocation,0
5000,140,equal allocation,0
7300,140,equal allocation,0
10000,140,equal allocation,0
730,141,equal allocation,0
1000,141,equal allocation,0
1825,141,equal allocation,0
3650,141,equal allocation,0
5000,141,equal allocation,0
7300,141,equal allocation,0
10000,141,equal allocation,0
730,142,equal allocation,0
1000,142,equal allocation,0
1825,142,equal allocation,0
3650,142,equal allocation,0.14
5000,142,equal allocation,0.96
7300,142,equal allocation,1
10000,142,equal allocation,1
730,143,equal allocation,0
1000,143,equal allocation,0
1825,143,equal allocation,0
3650,143,equal allocation,0
5000,143,equal allocation,0
7300,143,equal allocation,0
10000,143,equal allocation,0
730,144,equal allocation,0
1000,144,equal allocation,0
1825,144,equal allocation,0
3650,144,equal allocation,0
5000,144,equal allocation,0
7300,144,equal allocation,0
10000,144,equal allocation,0
730,145,equal allocation,0
1000,145,equal allocation,0
1825,145,equal allocation,0
3650,145,equal allocation,0
5000,145,equal allocation,0
