step,avg_drugs_lost,avg_all3_lost,parameter_comb,strategy
5000,0,0,112,equal allocation
7300,0,0,112,equal allocation
10000,0,0,112,equal allocation
730,0,0,113,equal allocation
1000,0,0,113,equal allocation
1825,0,0,113,equal allocation
3650,0,0,113,equal allocation
5000,0,0,113,equal allocation
7300,0,0,113,equal allocation
10000,0,0,113,equal allocation
730,0,0,114,equal allocation
1000,0,0,114,equal allocation
1825,0,0,114,equal allocation
3650,0,0,114,equal allocation
5000,0,0,114,equal allocation
7300,0,0,114,equal allocation
10000,0,0,114,equal allocation
730,0,0,115,equal allocation
1000,0,0,115,equal allocation
1825,0,0,115,equal allocation
3650,0,0,115,equal allocation
5000,0,0,115,equal allocation
7300,0,0,115,equal allocation
10000,0,0,115,equal allocation
730,0,0,116,equal allocation
1000,0,0,116,equal allocation
1825,0,0,116,equal allocation
3650,0,0,116,equal allocation
5000,0,0,116,equal allocation
7300,0.04,0,116,equal allocation
10000,0.1,0,116,equal allocation
730,0,0,117,equal allocation
1000,0,0,117,equal allocation
1825,0,0,117,equal allocation
3650,0,0,117,equal allocation
5000,0,0,117,equal allocation
7300,0,0,117,equal allocation
10000,0,0,117,equal allocation
730,0,0,118,equal allocation
1000,0,0,118,equal allocation
1825,0,0,118,equal allocation
3650,0,0,118,equal allocation
5000,0,0,118,equal allocation
7300,0,0,118,equal allocation
10000,0,0,118,equal allocation
730,0,0,119,equal allocation
1000,0,0,119,equal allocation
1825,0,0,119,equal allocation
3650,0,0,119,equal allocation
5000,0,0,119,equal allocation
7300,0,0,119,equal allocation
10000,0,0,119,equal allocation
730,0,0,120,equal allocation
1000,0,0,120,equal allocation
1825,0,0,120,equal allocation
3650,0,0,120,equal allocation
5000,0.16,0,120,equal allocation
7300,0.66,0,120,equal allocation
10000,1.32,0,120,equal allocation
730,0,0,121,equal allocation
1000,0,0,121,equal allocation
1825,0,0,121,equal allocation
3650,0,0,121,equal allocation
5000,0,0,121,equal allocation
7300,0,0,121,equal allocation
10000,0,0,121,equal allocation
730,0,0,122,equal allocation
1000,0,0,122,equal allocation
1825,0,0,122,equal allocation
3650,0,0,122,equal allocation
5000,0,0,122,equal allocation
7300,0,0,122,equal allocation
10000,0,0,122,equal allocation
730,0,0,123,equal allocation
1000,0,0,123,equal allocation
1825,0,0,123,equal allocation
3650,0,0,123,equal allocation
5000,0,0,123,equal allocation
7300,0,0,123,equal allocation
10000,0,0,123,equal allocation
730,0,0,124,equal allocation
1000,0,0,124,equal allocation
1825,0,0,124,equal allocation
3650,0.02,0,124,equal allocation
5000,0.12,0,124,equal allocation
7300,0.47,0,124,equal allocation
10000,0.83,0,124,equal allocation
730,0,0,125,equal allocation
1000,0,0,125,equal allocation
1825,0,0,125,equal allocation
3650,0,0,125,equal allocation
5000,0,0,125,equal allocation
7300,0.04,0,125,equal allocation
10000,0.1,0,125,equal allocation
730,0,0,126,equal allocation
1000,0,0,126,equal allocation
1825,0,0,126,equal allocation
3650,0,0,126,equal allocation
5000,0,0,126,equal allocation
7300,0,0,126,equal allocation
10000,0,0,126,equal allocation
730,0,0,127,equal allocation
1000,0,0,127,equal allocation
1825,0,0,127,equal allocation
3650,0,0,127,equal allocation
5000,0,0,127,equal allocation
7300,0,0,127,equal allocation
10000,0,0,127,equal allocation
730,0,0,128,equal allocation
1000,0,0,128,equal allocation
1825,0,0,128,equal allocation
3650,0,0,128,equal allocation
5000,0,0,128,equal allocation
7300,0,0,128,equal allocation
10000,0,0,128,equal allocation
730,0,0,129,equal allocation
1000,0,0,129,equal allocation
1825,0,0,129,equal allocation
3650,0,0,129,equal allocation
5000,0,0,129,equal allocation
7300,0,0,129,equal allocation
10000,0,0,129,equal allocation
730,0,0,130,equal allocation
1000,0,0,130,equal allocation
1825,0,0,130,equal allocation
3650,0,0,130,equal allocation
5000,0.03,0,130,equal allocation
7300,0.25,0,130,equal allocation
10000,0.44,0,130,equal allocation
730,0,0,131,equal allocation
1000,0,0,131,equal allocation
1825,0,0,131,equal allocation
3650,0,0,131,equal allocation
5000,0,0,131,equal allocation
7300,0,0,131,equal allocation
10000,0,0,131,equal allocation
730,0,0,132,equal allocation
1000,0,0,132,equal allocation
1825,0,0,132,equal allocation
3650,0,0,132,equal allocation
5000,0,0,132,equal allocation
